rank,sensor,mean_abs_shap
1,sensor_059,0.23506228825990305
2,sensor_064,0.12882234187983915
3,sensor_477,0.11992701689431541
4,sensor_152,0.08358361790541587
5,sensor_488,0.07822121653640036
6,sensor_574,0.06815426673442773
7,sensor_163,0.05794027121674077
8,sensor_279,0.050668922561136524
9,sensor_423,0.04311375588286718
10,sensor_562,0.04210686943591169
11,sensor_063,0.04052034911729237
12,sensor_016,0.039038959656846714
13,sensor_441,0.03882815093053159
14,sensor_025,0.03496673959489366
15,sensor_099,0.03450012230227326
